Agency or Publisher,Person(s),Phone,Email,Website,Address,SlowFoodLink
Dr. Wasmer Thaller & Partner ,Frau Claudia Thaller-Birkigt,0351 - 49725 - 0 ,kanzlei@wnp-dresden.de,http://www.wnp-dresden.de,"Fröbelstraße 51,  01159 Dresden, Sachsen",https://www.slowfood.de/unterstuetzer/agenturen_verlage/dr_wasmer_thaller_partner
Mediendienstleistung Becher ,Herr Jens Becher,0341 / 6 81 94 83 ,jens.becher@kochende-unterhaltung.de,"Elisabethstr. 22,  04315 Leipzig, Sachsen",https://www.slowfood.de/unterstuetzer/agenturen_verlage/mediendienstleistung_becher
Sapio Kulinarische Entdeckungsreisen ,Herr Philipp Boecker ,030 - 255 629 35,info@sapio.de,http://www.sapio.de,"Reichenberger Str. 109,  10999 Berlin, Berlin",https://www.slowfood.de/unterstuetzer/agenturen_verlage/sapio_kulinarische_entdeckungsreisen
FOODBOOM GmbH,Herr Sebastian Heinz,(0) 40 609401814,lemi@foodboom.com,https://www.foodboom.de,"Billstraße 114,  20539  Hamburg, Hamburg",https://www.slowfood.de/unterstuetzer/agenturen_verlage/foodboom_gmbh
Famille Flaneur e.K.,Herr Jens - Uwe Hering,040 - 743 930 85,hering@familleflaneur.de,http://www.familleflaneur.de,"Dürerstraße 6,  22607 Hamburg, Hamburg",https://www.slowfood.de/unterstuetzer/agenturen_verlage/famille_flaneur_ek
Fasten-Sylt ,Frank Ahlers e.K.,04651 / 92 74 56 ,info@fasten-sylt.de,http://www.fasten-sylt.de,"Theodor-Storm-Str. 13,  25980 Westerland, Schleswig-Holstein",https://www.slowfood.de/unterstuetzer/agenturen_verlage/fasten_sylt
Oscar Bóbolo. Food & Beverage Brand Consultancy,Valentina Härtel & Patrik Kusak,(02 11) 26 17 42 36,studio@oscarbobolo.de,http://www.oscarbobolo.de,"Franklinstraße 56,  40479 Düsseldorf, Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/agenturen_verlage/oscar_bobolo_food_beverage_brand_consultancy
Die Genussprojekte - Agentur für kulinarische Inszenierungen,Herr Dr. Hans-Ulrich List,0700 - 53253700,info@genussprojekte.de,http://www.genussprojekte.de,"Mozartstraße 16,  41844 Wegberg, Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/agenturen_verlage/die_genussprojekte_agentur_fuer_kulinarische_inszenierungen
punkt 4  -  Agentur für Kommunikation und gute Ideen GmbH,Herr Klaus Dietrich,0231 950 460-0,info@punkt4.eu,http://www.punkt4.eu,"Plauener Straße 21,  44139  Dortmund, Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/agenturen_verlage/punkt_4_agentur_fuer_kommunikation_und_gute_ideen_gmbh
Manx Kommunikationsdesign,Peter Howe und Tim Ulrich,0201 / 84 86 00,info@manxdesign.de,http://www.manxdesign.de/,"Hammer Str. 156,  45257 Essen, Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/agenturen_verlage/manx
a´verdis Rainer Roehl & Dr. Strassner GbR,"Herr Rainer Roehl, Frau Dr. Carola Strassner ",0251-98 01 22 0 ,info@a-verdis.com,http://www.a-verdis.com,"Mendelstraße 11,  48149 Münster, Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/agenturen_verlage/averdis_rainer_roehl_dr_strassner_gbr
LandschaftenSchmecken - Genussreisen,Herr Bernd Socher,06758-8089770,info@LandschaftenSchmecken.de,http://www.landschaftenschmecken.de,"Lindenstrasse 18,  55596  Oberstreit, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/agenturen_verlage/landschaftenschmecken
SUNEVENTS - dienstleistungen für veranstaltungen ,Herr Klaus Schäfer,06024 / 6 38 68 68 ,service@sunevents.de,http://www.sunevents.de,"Georg-Blass-Str. 12,  63768 Hösbach, Bayern",https://www.slowfood.de/unterstuetzer/agenturen_verlage/sunevents_dienstleistungen_fuer_veranstaltungen
