Club or Association,Person(s),Phone,Email,Website,Address,SlowFoodLink
Sächsische Landesstiftung Natur und Umwelt,Frau Andrea Gößl,0351 - 814 16 757,poststelle@lanu.de,http://www.lanu.de,"Riesaer Strasse 7,  01129 Dresden, Sachsen",https://www.slowfood.de/unterstuetzer/verbaende_vereine/saechsische_landesstiftung_natur_und_umwelt
ODER Culinarium e.V. ,Mathias Schirmer - Vorsitzender,(03 34 56) 7 00 30,oderculinarium@freenet.de,http://www.oderculinarium.com,"Neumädewitz 31,  16259 Oderaue, Brandenburg",https://www.slowfood.de/unterstuetzer/verbaende_vereine/oder_culinarium_ev
Bundesverband der Vorzugsmilcherzeuger und Direktvermarkter von Milch und Milchprodukten (BVDM),Antje Hassenpflug,04182-2918001,information@milch-und-mehr.de,"Upn Saal 7,  21255 Dohren, Niedersachsen",https://www.slowfood.de/unterstuetzer/verbaende_vereine/bundesverband_der_vorzugsmilcherzeuger_und_direktvermarkter_von_milch_und_milchprodukten_bvdm
Nabu Ostfriesland,Herr Bergmann,04942  990394,kontakt@nabu-ostfriesland.de,http://www.nabu-ostfriesland.de,"Forstweg 121,  26624 Südbrookmerland, Niedersachsen",https://www.slowfood.de/unterstuetzer/verbaende_vereine/nabu_ostfriesland
Volkshochschule des Landkreises Diepholz,Gerhard Thiel,04242-976-4075,vhs@vhs-diepholz.de,http://www.vhs-diepholz.de,"Nienburger Str. 5,  28857 Syke, Niedersachsen",https://www.slowfood.de/unterstuetzer/verbaende_vereine/vhs_syke
Landheim Tellkampfschule e.V.,Herr Paul Simons,(0 50 41) 9 70 60 6,paul.simons@htp-tel.de,http://www.landheim-tellkampfschule.de,"Im Papenwinkel 1,  31832 Springe, Niedersachsen",https://www.slowfood.de/unterstuetzer/verbaende_vereine/landheim_tellkampfschule_ev
Verkehrsverein Nieheim,Theo Reinecke,05274 - 83 04,vvnieheim@aol.com,http://www.nieheim.de,"Haus des Gases,  33039 Nieheim, Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/verbaende_vereine/verkehrsverein_nieheim
Verein zur Förderung des Roten Höhenviehs im Weserbergland e.V.,Herr Ulrich Schlette,(0 55 32) 99 96 72,info@hoehenvieh-weserbergland.de,http://www.hoehenvieh-weserbergland.de,"Zum Eichholz 5,  37640 Golmbach, Niedersachsen",https://www.slowfood.de/unterstuetzer/verbaende_vereine/verein_zur_foerderung_des_roten_hoehenviehs_im_weserbergland_ev
Fachverband unabhängiger Weinreferenten e. V.,Ulrike Banse,02131-602372,info@vinoscola.de,http://www.weinreferenten.de,"Heidelberger Weg 2,  41564 Kaarst, Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/verbaende_vereine/weinreferenten
ImpulsWerk Münster e.V.,Herr André Schmitz,0251 66 14 21,info@impulswerk-muenster.de,https://www.impulswerk-muenster.de/,"Soester Strasse 32,  48155 Münster, Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/verbaende_vereine/impulswerk-muenster-e-v
Corpus Culinario e.V.,Herr Michael Gerling,0221 - 579 93 - 50,info@corpus-culinario.de,http://www.corpus-culinario.de,"Spichernstraße 55,  50672  Köln, Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/verbaende_vereine/corpus_culinario_ev
Akademie Gesundes Leben in der Stiftung Reformhaus-Fachakademie,Herr Ulrich Jentzen,06172 / 3009 - 822,kontakt@akademie-gesundes-leben.de,http://www.akademie-gesundes-leben.de,"Gotische Straße 15,  61440 Oberursel, Hessen",https://www.slowfood.de/unterstuetzer/verbaende_vereine/akademie_gesundes_leben_in_der_stiftung_reformhaus_fachakademie
Glanrind Züchterverband e.V.,Doris Schmitt-Neumann,06386 - 6496,weitersbacherhof@t-online.de,http://www.glanrinder.de,"Weitersbacher Hof,  66903 Ohmbach, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/verbaende_vereine/glanrind_zuechterverband_ev
Deutsche Röstergilde e.V.,Frau Nina Shestakova,062143705630,info@deutsche-roestergilde.de,http://www.deutsche-roestergilde.de," Geschäftsstelle Mannheim H 2, 19,  68159  Mannheim, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/verbaende_vereine/deutsche_roestergilde_ev
"Initiative Heidelberg Kunst, Kultur & Genuss e.V.",Herr Thomas Röhl (Mitglied des Vorstands) ,06221-616640 ,info_ihkkg@web.de,http://www.ihkkg-kulturmarkt.de,"Römerstraße 38,  69115 Heidelberg, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/verbaende_vereine/initiative_heidelberg_kunst_kultur_genuss_ev
Gut Hohenberg - Stiftung Ökologie & Landbau,Dr. Ulrich Hampl,06346 928 555,info@gut-hohenberg.de,http://www.gut-hohenberg.de,"Krämerstraße,  76855 Queichhambach, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/verbaende_vereine/gut_hohenberg
Verein Die BioHotels,Frau Carola Portenlänger / Serviceteam,"
              ",http://www.biohotels.info,"Josef - Kogler - Straße 5,  82031 Grünwald, Bayern",https://www.slowfood.de/unterstuetzer/verbaende_vereine/verein_die_biohotels
