Dealer,Person(s),Phone,Email,Website,Address,SlowFoodLink
Onkel Franz - Wenzel & Wett GbR,Markus Wenzel  und Martin Wett,(01 74) 3 32 86 11,info@onkelfranz.net,https://www.onkelfranz.net,"Meschwitzstraße 5,  01099 Dresden, Sachsen",https://www.slowfood.de/unterstuetzer/haendler/onkel_franz_wenzel_wett_gbr
SUPERIORE.DE GMBH,Herr Lutz Heimrich,03523 / 53 368 - 0,kontakt@superiore.de,http://www.superiore.de,"Koehlerstrasse 22,  01640 Coswig, Sachsen",https://www.slowfood.de/unterstuetzer/haendler/superiorede_gmbh
Rothenburger Marktfrisch GmbH,Rüdiger Hackel und Klaus-Dieter Wolf,035891-32 10 3,info@marktfrisch-rothenburg.de,http://www.marktfrisch-rothenburg.de,"Dransfelder Straße 7,  02929 Rothenburg, Sachsen",https://www.slowfood.de/unterstuetzer/haendler/rothenburger_marktfrisch_gmbh
Dipasquale - Italien für Zuhause,Frau Andrea Dipasquale,(03 41) 24 74 18 21,andrea.dipasquale@gmail.com,http://dipasquale.de,"Karl - Heine - Straße 63,  04229 Leipzig, Sachsen",https://www.slowfood.de/unterstuetzer/haendler/dipasquale_italien_fuer_zuhause
Henke Party und Veranstaltungsservice Feinkosthandel,Matthias Henke,0345- 52 17 60,info@henkeparty.de,http://www.Henkeparty.de,"Reilstr. 7,  06114 Halle (Saale), Sachsen-Anhalt",https://www.slowfood.de/unterstuetzer/haendler/henke_party_und_veranstaltungsservice_feinkosthandel
Regionalladen Harz - Quedlinburg,Frau Simone Seiboth,(01 73)1 63 48 02,info@harzer-naturkueche.de,http://www.regionalladen-harz.de,"Steinbrücke 20,  06484 Quedlinburg, Sachsen-Anhalt",https://www.slowfood.de/unterstuetzer/haendler/regionalladen_harz_quedlinburg
"Feinkost 30, Zwickau",Christiane Dreißig,0375 - 786276,postbox@feinkost30.de,http://www.feinkost30.de,"Äußere Zwickauer Str. 23 ,  08064  Zwickau, Sachsen",https://www.slowfood.de/unterstuetzer/haendler/feinkost_30_zwickau
TRY FOODS GmbH & Co. KG ,Herr Jörn Gutowski,030 - 20896769,info@tryfoods.de,https://www.tryfoods.de,"Max-Beer-Str. 18,  10119 Berlin, Berlin",https://www.slowfood.de/unterstuetzer/haendler/try_foods_gmbh_co_kg
SAKE KONTOR Berlin,Frau Susanne Rost-Aoki,030-21237601,buero@sake-kontor.de,http://www.sake-kontor.de,"Markgrafendamm 34,  10245 Berlin, Berlin",https://www.slowfood.de/unterstuetzer/haendler/sake_kontor_berlin
Dr. Kochan Schnapskultur ,Herr Thomas Kochan,(0)30/34 62 40 76,info@schnapskultur.de,http://www.schnapskultur.de,"Immanuelkirchstr. 4 ,  10405 Berlin, Berlin",https://www.slowfood.de/unterstuetzer/haendler/dr_kochan_schnapskultur
