Supporter,Person(s),Phone,Email,Website,Address,SlowFoodLink
Control Union Certifications Germany GmbH,Herr Markus Fertig,(030) 5 09 69 88-0,mfertig@controlunion.com,https://www.controlunion-germany.com,"Dorotheastraße 30,  10318 Berlin, Berlin",https://www.slowfood.de/unterstuetzer/sonstige_unterstuetzer/control_union_certifications_germany_gmbh
Choco Communications GmbH,Chelsea van Hooven,01723573787,chelsea@choco.app,www.choco.com/de,"Hasenheide 54,  10965 Berlin, Berlin",https://www.slowfood.de/unterstuetzer/sonstige_unterstuetzer/choco-communications-gmbh
Next Organic - FuturEins UG,Herr Jiro Nitsch,(0 30) 69 53 27 01,post@nextorganic-berlin.de,http://next-organic.de,"Eisenbahnstr. 42/43,  10997 Berlin, Berlin",https://www.slowfood.de/unterstuetzer/sonstige_unterstuetzer/next_organic_futureins_ug
Regattafilm,Frau Doerte Eising,0172-39 18 59 0,doerte@regattafilm.de,http://www.regattafilm.de,"Finkenschlag 12 A,  12527 Berlin, Berlin",https://www.slowfood.de/unterstuetzer/sonstige_unterstuetzer/regattafilm
Regionalwert AG Hamburg,Herr Ulf Schönheim,(01 79) 2 66 98 97,info@regionalwert-hamburg.de,http://regionalwert-hamburg.de,"Gurlittstraße 80,  20099 Hamburg, Hamburg",https://www.slowfood.de/unterstuetzer/sonstige_unterstuetzer/regionalwert_ag_hamburg
FEINHEIMISCH Genuss aus Schleswig-Holstein e.V.,0431 - 98 65 48 77,"
              ",info@feinheimisch.de,http://www.feinheimisch.de,"Wall 55,  24103 Kiel, Schleswig-Holstein",https://www.slowfood.de/unterstuetzer/sonstige_unterstuetzer/feinheimisch_genuss_aus_schleswig_holstein_ev
Tourismus-Service Langeoog,Herr Hinrik Dollmann,04972 / 693-0,kurverwaltung@langeoog.de,http://www.langeoog.de,"Hauptstraße 28,  26465 Langeoog, Niedersachsen",https://www.slowfood.de/unterstuetzer/sonstige_unterstuetzer/tourismus_service_langeoog
Wollzeit GmbH,Jochen Bremer,04269-104479,info@wollzeit.com,https://www.wollzeit.com/,"Alte Dorfstr. 26a,  27356 Rotenburg / Unterstedt",https://www.slowfood.de/unterstuetzer/sonstige_unterstuetzer/wollzeit-gmbh
MESSE BREMEN & ÖVB Arena ,Frau Andrea Rohde,0421 / 3505 260  ,rohde@messe-bremen.de,http://www.messe-bremen.de,"Findorffstraße 101,  28215 Bremen, Bremen",https://www.slowfood.de/unterstuetzer/sonstige_unterstuetzer/messe_bremen_oevb_arena
Contravis GmbH,Herr Dirk Wahlscheidt,02175 / 16 55 33,dwahlscheidt@contravis.de,http://www.contravis.de,"Moltkestraße 25,  42799 Leichlingen, Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/sonstige_unterstuetzer/contravis_gmbh
