Winemaker,Person(s),Phone,Email,Website,Address,SlowFoodLink
Weingut Schloss Proschwitz,Herr Georg Prinz zur Lippe,03521 / 7 67 60,weingut@schloss-proschwitz.de,http://www.schloss-proschwitz.de,"Dorfanger 19,  01665 Zadel, Sachsen",https://www.slowfood.de/unterstuetzer/winzer/weingut_schloss_proschwitz
Drohner Edelbrennerei ,Herr Gerhard Ey,05474 205733,info@brennerey.com,http://brennerey.com,"Drohner Straße 2,  32351 Stemwede, Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/winzer/drohner_edelbrennerei
Ahr Winzer eG / Dagernova Weinmanufaktur,"Hr. Friedhelm Nelles, Hr. Günter Schüller, Hr. Thomas Monreal",02641 / 9 47 20,info@dagernova.de,http://www.dagernova.de,"Heerstraße 91-93,  53474 Bad Neuenahr, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/ahr_winzer_eg
WeinGut Paul Schumacher,Paul Schumacher und Anne Schumacher-Noack,0 26 41 / 43 45,ps-info@weingut-ps.de,http://www.weingut-ps.de,"Marienthaler Straße 6,  53474 Bad Neuenahr - Ahrweiler, Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/winzer/weingut_paul_schumacher
Weingut Peter Kriechel GbR,"Gerd, Markus, Michael und Ernst Kriechel",02641 / 3 61 93,info@weingut-kriechel.de,http://www.weingut-kriechel.de,"Walporzheimer Straße 83-85,  53474 Ahrweiler, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_kriechel
Weingut Meyer-Näkel,Hr. Werner Näkel,02643 / 16 28,weingut@meyer-naekel.de,http://www.meyer-naekel.de,"Friedensstr. 15,  53507 Dernau, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_meyernaekel
Belz Weinbau - kontrolliert ökologischer Weinbau,Angelika & Jörg Belz, 02224 - 76710,belzweinbau@web.de,http://www.belzweinbau.de,"Grabenstraße 33,  53572 Unkel-Bruchhausen, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/belz_weinbau_kontrolliert_oekologischer_weinbau
Wein- & Sektgut Schneider Leiwen,Heinz Schneider,06507 - 99138,info@weingut-schneider-leiwen.de,http://www.weingut-schneider-leiwen.de,"Klostergartenstr. 36,  54340 Leiwen/Mosel, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/wein_sektgut_schneider_leiwen
Weingut-Vinothek Schlöder-Thielen,Frau Kathrin Schlöder,06502 / 994111,schloeder-thielen-wine@t-online.de,http://www.vinothek-alte-burg.de,"Burgstr. 3,  54340 Longuich/Mosel, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_vinothek_schloeder_thielen
Weingut Köwerich,Hr. Nick Köwerich,06507 / 42 82,weingut.koewerich@t-online.de,http://www.weingutkoewerich.de/,"Reichgasse 7,  54340 Leiwen/Mosel, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_koewerich
Familie Sauerwein                 ,Matthias Sauerwein,06583 - 444,info@erwin-sauerwein.de,http://erwin-sauerwein.de,"Römerstr. 2    ,  54439 Palzem / Südliche Wein-Mosel, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_sonenbuerg_erwin_sauerwein
Weingut Jürgen Dostert,Herr Jürgen Dostert,0 65 84 . 2 63,info@dostert-nittel.de,http://www.dostert-nittel.de,"Moselstraße 45,  54453 Nittel, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/winzer/weingut_juergen_dostert
